Date,Home,Away,Predicted_Winner,Confidence,Type,Result,Real_Winner,User_Prediction,User_Result,User_Reason
2025-12-22,Portland Trail Blazers,Detroit Pistons,Detroit Pistons,68.2%,Auto,GAGNE,Detroit Pistons,Detroit Pistons,GAGNE,Intuition / Feeling
2025-12-23,Portland Trail Blazers,Orlando Magic,Portland Trail Blazers,50.5%,Auto,PERDU,Orlando Magic,Orlando Magic,GAGNE,Analyse Stats
2025-12-23,Phoenix Suns,Los Angeles Lakers,Los Angeles Lakers,57.6%,Auto,PERDU,Phoenix Suns,Los Angeles Lakers,PERDU,Revanche / Rivalité
2025-12-23,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,50.4%,Auto,PERDU,San Antonio Spurs,San Antonio Spurs,GAGNE,Revanche / Rivalité
2025-12-23,Sacramento Kings,Detroit Pistons,Detroit Pistons,77.3%,Auto,GAGNE,Detroit Pistons,Detroit Pistons,GAGNE,Analyse Stats
2025-12-23,Los Angeles Clippers,Houston Rockets,Los Angeles Clippers,66.6%,Auto,GAGNE,Los Angeles Clippers,Houston Rockets,PERDU,Intuition / Feeling
2025-12-23,Minnesota Timberwolves,New York Knicks,New York Knicks,59.4%,Auto,PERDU,Minnesota Timberwolves,Minnesota Timberwolves,GAGNE,Domicile / Extérieur
2025-12-23,Utah Jazz,Memphis Grizzlies,Utah Jazz,56.4%,Auto,PERDU,Memphis Grizzlies,Memphis Grizzlies,GAGNE,Série / Forme du moment
2025-12-23,Indiana Pacers,Milwaukee Bucks,Indiana Pacers,63.5%,Auto,PERDU,Milwaukee Bucks,Indiana Pacers,PERDU,Revanche / Rivalité
2025-12-23,Atlanta Hawks,Chicago Bulls,Chicago Bulls,53.3%,Auto,GAGNE,Chicago Bulls,Atlanta Hawks,PERDU,Revanche / Rivalité
2025-12-23,Philadelphia 76ers,Brooklyn Nets,Philadelphia 76ers,61.1%,Auto,PERDU,Brooklyn Nets,Philadelphia 76ers,PERDU,Analyse Stats
2025-12-23,Charlotte Hornets,Washington Wizards,Charlotte Hornets,72.4%,Auto,GAGNE,Charlotte Hornets,Charlotte Hornets,GAGNE,Domicile / Extérieur
2025-12-23,Dallas Mavericks,Denver Nuggets,Denver Nuggets,53.6%,Auto,PERDU,Dallas Mavericks,Denver Nuggets,PERDU,Analyse Stats
2025-12-23,Miami Heat,Toronto Raptors,Miami Heat,54.0%,Auto,PERDU,Toronto Raptors,Miami Heat,PERDU,Domicile / Extérieur
2025-12-23,Cleveland Cavaliers,New Orleans Pelicans,New Orleans Pelicans,66.4%,Auto,PERDU,Cleveland Cavaliers,Cleveland Cavaliers,GAGNE,Revanche / Rivalité
2025-12-25,New York Knicks,Cleveland Cavaliers,New York Knicks,76.0%,Auto,GAGNE,New York Knicks,New York Knicks,GAGNE,Domicile / Extérieur
2025-12-25,Oklahoma City Thunder,San Antonio Spurs,San Antonio Spurs,51.8%,Auto,GAGNE,San Antonio Spurs,Oklahoma City Thunder,PERDU,Revanche / Rivalité
2025-12-25,Golden State Warriors,Dallas Mavericks,Golden State Warriors,56.6%,Auto,GAGNE,Golden State Warriors,Golden State Warriors,GAGNE,Série / Forme du moment
2025-12-25,Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,72.8%,Auto,PERDU,Houston Rockets,Houston Rockets,GAGNE,Intuition / Feeling
2025-12-25,Denver Nuggets,Minnesota Timberwolves,Denver Nuggets,67.0%,Auto,PERDU,Minnesota Timberwolves,Denver Nuggets,PERDU,Analyse Stats
2025-12-26,Portland Trail Blazers,Los Angeles Clippers,Portland Trail Blazers,65.3%,Auto,PERDU,Los Angeles Clippers,Portland Trail Blazers,PERDU,Série / Forme du moment
2025-12-26,Utah Jazz,Detroit Pistons,Utah Jazz,65.2%,Auto,GAGNE,Utah Jazz,Detroit Pistons,PERDU,Analyse Stats
2025-12-26,New Orleans Pelicans,Phoenix Suns,New Orleans Pelicans,87.3%,Auto,PERDU,Phoenix Suns,Phoenix Suns,GAGNE,Analyse Stats
2025-12-26,Memphis Grizzlies,Milwaukee Bucks,Memphis Grizzlies,62.9%,Auto,GAGNE,Memphis Grizzlies,Memphis Grizzlies,GAGNE,Domicile / Extérieur
2025-12-26,Chicago Bulls,Philadelphia 76ers,Philadelphia 76ers,53.7%,Auto,PERDU,Chicago Bulls,Chicago Bulls,GAGNE,Série / Forme du moment
2025-12-26,Washington Wizards,Toronto Raptors,Washington Wizards,57.2%,Auto,GAGNE,Washington Wizards,Toronto Raptors,PERDU,Analyse Stats
2025-12-26,Orlando Magic,Charlotte Hornets,Orlando Magic,53.4%,Auto,PERDU,Charlotte Hornets,Orlando Magic,PERDU,Analyse Stats
2025-12-26,Indiana Pacers,Boston Celtics,Boston Celtics,61.7%,Auto,GAGNE,Boston Celtics,Boston Celtics,GAGNE,Série / Forme du moment
2025-12-26,Atlanta Hawks,Miami Heat,Atlanta Hawks,57.5%,Auto,PERDU,Miami Heat,Atlanta Hawks,PERDU,Domicile / Extérieur
2025-12-27,Atlanta Hawks,New York Knicks,Atlanta Hawks,54.2%,Auto,PERDU,New York Knicks,Atlanta Hawks,PERDU,Revanche / Rivalité
2025-12-27,Orlando Magic,Denver Nuggets,Denver Nuggets,61.9%,Auto,PERDU,Orlando Magic,Denver Nuggets,PERDU,Série / Forme du moment
2025-12-27,New Orleans Pelicans,Phoenix Suns,New Orleans Pelicans,60.8%,Auto,PERDU,Phoenix Suns,New Orleans Pelicans,PERDU,Domicile / Extérieur
2025-12-27,Houston Rockets,Cleveland Cavaliers,Houston Rockets,62.7%,Auto,GAGNE,Houston Rockets,Houston Rockets,GAGNE,Série / Forme du moment
2025-12-27,Sacramento Kings,Dallas Mavericks,Sacramento Kings,63.7%,Auto,GAGNE,Sacramento Kings,Sacramento Kings,GAGNE,Blessure / Effectif
2025-12-27,Minnesota Timberwolves,Brooklyn Nets,Minnesota Timberwolves,53.0%,Auto,PERDU,Brooklyn Nets,Minnesota Timberwolves,PERDU,Analyse Stats
2025-12-27,San Antonio Spurs,Utah Jazz,San Antonio Spurs,81.9%,Auto,PERDU,Utah Jazz,San Antonio Spurs,PERDU,Série / Forme du moment
2025-12-27,Chicago Bulls,Milwaukee Bucks,Chicago Bulls,66.2%,Auto,PERDU,Milwaukee Bucks,Chicago Bulls,PERDU,Série / Forme du moment
2025-12-27,Miami Heat,Indiana Pacers,Miami Heat,55.9%,Auto,GAGNE,Miami Heat,Miami Heat,GAGNE,Analyse Stats
2025-12-28,Washington Wizards,Memphis Grizzlies,Washington Wizards,50.0%,Auto,GAGNE,Washington Wizards,Washington Wizards,GAGNE,Analyse Stats
2025-12-28,Oklahoma City Thunder,Philadelphia 76ers,Oklahoma City Thunder,50.0%,Auto,GAGNE,Oklahoma City Thunder,Oklahoma City Thunder,GAGNE,Domicile / Extérieur
2025-12-28,Portland Trail Blazers,Boston Celtics,Portland Trail Blazers,50.0%,Auto,GAGNE,Portland Trail Blazers,Boston Celtics,PERDU,Analyse Stats
2025-12-28,Los Angeles Lakers,Sacramento Kings,Los Angeles Lakers,50.0%,Auto,GAGNE,Los Angeles Lakers,Los Angeles Lakers,GAGNE,Analyse Stats
2025-12-28,Los Angeles Clippers,Detroit Pistons,Los Angeles Clippers,50.0%,Auto,GAGNE,Los Angeles Clippers,Los Angeles Clippers,GAGNE,Analyse Stats
2025-12-28,Toronto Raptors,Golden State Warriors,Toronto Raptors,50.0%,Auto,GAGNE,Toronto Raptors,Golden State Warriors,PERDU,Série / Forme du moment
2025-12-29,Brooklyn Nets,Golden State Warriors,Brooklyn Nets,50.0%,Auto,PERDU,Golden State Warriors,Golden State Warriors,GAGNE,Revanche / Rivalité
2025-12-29,Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,50.0%,Auto,PERDU,Milwaukee Bucks,Charlotte Hornets,PERDU,Domicile / Extérieur
2025-12-29,Toronto Raptors,Orlando Magic,Toronto Raptors,50.0%,Auto,GAGNE,Toronto Raptors,Toronto Raptors,GAGNE,Intuition / Feeling
2025-12-29,Washington Wizards,Phoenix Suns,Washington Wizards,50.0%,Auto,PERDU,Phoenix Suns,Washington Wizards,PERDU,Intuition / Feeling
2025-12-29,Miami Heat,Denver Nuggets,Miami Heat,50.0%,Auto,GAGNE,Miami Heat,Denver Nuggets,PERDU,Intuition / Feeling
2025-12-29,San Antonio Spurs,Cleveland Cavaliers,San Antonio Spurs,50.0%,Auto,PERDU,Cleveland Cavaliers,San Antonio Spurs,PERDU,Série / Forme du moment
2025-12-29,Chicago Bulls,Minnesota Timberwolves,Chicago Bulls,50.0%,Auto,PERDU,Minnesota Timberwolves,Chicago Bulls,PERDU,Domicile / Extérieur
2025-12-29,Houston Rockets,Indiana Pacers,Houston Rockets,50.0%,Auto,GAGNE,Houston Rockets,Houston Rockets,GAGNE,Domicile / Extérieur
2025-12-29,Oklahoma City Thunder,Atlanta Hawks,Oklahoma City Thunder,50.0%,Auto,GAGNE,Oklahoma City Thunder,Oklahoma City Thunder,GAGNE,Domicile / Extérieur
2025-12-29,Portland Trail Blazers,Dallas Mavericks,Portland Trail Blazers,50.0%,Auto,GAGNE,Portland Trail Blazers,Dallas Mavericks,PERDU,Intuition / Feeling
2025-12-29,New Orleans Pelicans,New York Knicks,New Orleans Pelicans,50.0%,Auto,PERDU,New York Knicks,New York Knicks,GAGNE,Intuition / Feeling
2025-12-30,Los Angeles Clippers,Sacramento Kings,Los Angeles Clippers,64.5%,Auto,GAGNE,Los Angeles Clippers,Los Angeles Clippers,GAGNE,Intuition / Feeling
2025-12-30,Utah Jazz,Boston Celtics,Utah Jazz,51.8%,Auto,PERDU,Boston Celtics,Boston Celtics,GAGNE,Intuition / Feeling
2025-12-30,Memphis Grizzlies,Philadelphia 76ers,Memphis Grizzlies,65.8%,Auto,PERDU,Philadelphia 76ers,Philadelphia 76ers,GAGNE,Analyse Stats
2025-12-30,Los Angeles Lakers,Detroit Pistons,Detroit Pistons,58.4%,Auto,GAGNE,Detroit Pistons,Los Angeles Lakers,PERDU,Intuition / Feeling
2025-12-31,Cleveland Cavaliers,Phoenix Suns,Cleveland Cavaliers,56.2%,Auto,GAGNE,Cleveland Cavaliers,Cleveland Cavaliers,GAGNE,Domicile / Extérieur
2025-12-31,Atlanta Hawks,Minnesota Timberwolves,Atlanta Hawks,63.7%,Auto,GAGNE,Atlanta Hawks,Atlanta Hawks,GAGNE,Domicile / Extérieur
2025-12-31,Indiana Pacers,Orlando Magic,Orlando Magic,50.7%,Auto,GAGNE,Orlando Magic,Orlando Magic,GAGNE,Analyse Stats
2025-12-31,Milwaukee Bucks,Washington Wizards,Milwaukee Bucks,56.8%,Auto,PERDU,Washington Wizards,Milwaukee Bucks,PERDU,Série / Forme du moment
2025-12-31,Charlotte Hornets,Golden State Warriors,Charlotte Hornets,73.2%,Auto,PERDU,Golden State Warriors,Golden State Warriors,GAGNE,Analyse Stats
2025-12-31,Toronto Raptors,Denver Nuggets,Denver Nuggets,60.2%,Auto,GAGNE,Denver Nuggets,Toronto Raptors,PERDU,Blessure / Effectif
2025-12-31,San Antonio Spurs,New York Knicks,San Antonio Spurs,68.4%,Auto,GAGNE,San Antonio Spurs,San Antonio Spurs,GAGNE,Intuition / Feeling
2025-12-31,Oklahoma City Thunder,Portland Trail Blazers,Oklahoma City Thunder,71.2%,Auto,GAGNE,Oklahoma City Thunder,Oklahoma City Thunder,GAGNE,Analyse Stats
2025-12-31,Chicago Bulls,New Orleans Pelicans,Chicago Bulls,68.9%,Auto,GAGNE,Chicago Bulls,New Orleans Pelicans,PERDU,Blessure / Effectif
2026-01-01,Dallas Mavericks,Philadelphia 76ers,Dallas Mavericks,65.0%,Auto,PERDU,Philadelphia 76ers,Dallas Mavericks,PERDU,Domicile / Extérieur
2026-01-01,Sacramento Kings,Boston Celtics,Boston Celtics,68.8%,Auto,GAGNE,Boston Celtics,Boston Celtics,GAGNE,Intuition / Feeling
2026-01-01,Brooklyn Nets,Houston Rockets,Houston Rockets,50.2%,Auto,GAGNE,Houston Rockets,Houston Rockets,GAGNE,Série / Forme du moment
2026-01-01,Detroit Pistons,Miami Heat,Detroit Pistons,55.8%,Auto,PERDU,Miami Heat,Detroit Pistons,PERDU,Domicile / Extérieur
2026-01-01,Los Angeles Clippers,Utah Jazz,Los Angeles Clippers,57.6%,Auto,GAGNE,Los Angeles Clippers,Los Angeles Clippers,GAGNE,Domicile / Extérieur
2026-01-02,Phoenix Suns,Sacramento Kings,Phoenix Suns,61.9%,Auto,,,,,
2026-01-02,New Orleans Pelicans,Portland Trail Blazers,Portland Trail Blazers,52.8%,Auto,,,,,
2026-01-02,Milwaukee Bucks,Charlotte Hornets,Charlotte Hornets,59.2%,Auto,,,,,
2026-01-02,Chicago Bulls,Orlando Magic,Chicago Bulls,56.2%,Auto,,,,,
2026-01-02,Indiana Pacers,San Antonio Spurs,San Antonio Spurs,76.4%,Auto,,,,,
2026-01-02,Cleveland Cavaliers,Denver Nuggets,Cleveland Cavaliers,54.7%,Auto,,,,,
2026-01-02,Washington Wizards,Brooklyn Nets,Brooklyn Nets,51.9%,Auto,,,,,
2026-01-02,Golden State Warriors,Oklahoma City Thunder,Oklahoma City Thunder,65.9%,Auto,,,,,
2026-01-02,New York Knicks,Atlanta Hawks,New York Knicks,50.4%,Auto,,,,,
2026-01-02,Los Angeles Lakers,Memphis Grizzlies,Memphis Grizzlies,64.6%,Auto,,,,,
